MATNR	ZZVWERK
0037621005	ASCO
0326555200	ASCO
0454230906	ASCO
0486722703	ASCO
0496124200	ASCO
0496211901	ASCO
0496217209	ASCO
0820019971	ASCO
0820030008	ASCO
0820030050	ASCO
0820030051	ASCO
0820030052	ASCO
0820030053	ASCO
0820030054	ASCO
0820030055	ASCO
0820030058	ASCO
0820030060	ASCO
0820030061	ASCO
0820030062	ASCO
0820030063	ASCO
0820030064	ASCO
0820030065	ASCO
0820030150	ASCO
0820030151	ASCO
0820030152	ASCO
0820030153	ASCO
0820030154	ASCO
0820030155	ASCO
0820030158	ASCO
0820030160	ASCO
0820030161	ASCO
0820030162	ASCO
0820030163	ASCO
0820030164	ASCO
0820030165	ASCO
0820031050	ASCO
0820031051	ASCO
0820031052	ASCO
0820031053	ASCO
0820031054	ASCO
0820031055	ASCO
0820031056	ASCO
0820031058	ASCO
0820031060	ASCO
0820031061	ASCO
0820031062	ASCO
0820031063	ASCO
0820031064	ASCO
0820031065	ASCO
0820037001	ASCO
0820037002	ASCO
0820037003	ASCO
0820037004	ASCO
0820037005	ASCO
0820037025	ASCO
0820037026	ASCO
0820037027	ASCO
0820037028	ASCO
0820037029	ASCO
0820037050	ASCO
0820037051	ASCO
0820037052	ASCO
0820037053	ASCO
0820037054	ASCO
0820037101	ASCO
0820037102	ASCO
0820037103	ASCO
0820037104	ASCO
0820037105	ASCO
0820037125	ASCO
0820037126	ASCO
0820037127	ASCO
0820037128	ASCO
0820037129	ASCO
0820037150	ASCO
0820037151	ASCO
0820037152	ASCO
0820037153	ASCO
0820037154	ASCO
0820037201	ASCO
0820037202	ASCO
0820037203	ASCO
0820037204	ASCO
0820037205	ASCO
0820037225	ASCO
0820037226	ASCO
0820037227	ASCO
0820037228	ASCO
0820037229	ASCO
0820037250	ASCO
0820037251	ASCO
0820037252	ASCO
0820037253	ASCO
0820037254	ASCO
0820037302	ASCO
0820037303	ASCO
0820037304	ASCO
0820037305	ASCO
0820037325	ASCO
0820037326	ASCO
0820037327	ASCO
0820037328	ASCO
0820037329	ASCO
0820037350	ASCO
0820037351	ASCO
0820037352	ASCO
0820037353	ASCO
0820037354	ASCO
0820037901	ASCO
0820037902	ASCO
0820037903	ASCO
0820037904	ASCO
0820037905	ASCO
0820037906	ASCO
0820037907	ASCO
0820037908	ASCO
0820037909	ASCO
0820038020	ASCO
0820038073	ASCO
0820038101	ASCO
0820038102	ASCO
0820038103	ASCO
0820038104	ASCO
0820038105	ASCO
0820038112	ASCO
0820038115	ASCO
0820038116	ASCO
0820038119	ASCO
0820038125	ASCO
0820038126	ASCO
0820038127	ASCO
0820038128	ASCO
0820038129	ASCO
0820038143	ASCO
0820038151	ASCO
0820038152	ASCO
0820038153	ASCO
0820038154	ASCO
0820038155	ASCO
0820038157	ASCO
0820038158	ASCO
0820038175	ASCO
0820038176	ASCO
0820038177	ASCO
0820038178	ASCO
0820038179	ASCO
0820038181	ASCO
0820038182	ASCO
0820038573	ASCO
0820038601	ASCO
0820038602	ASCO
0820038603	ASCO
0820038604	ASCO
0820038605	ASCO
0820038612	ASCO
0820038616	ASCO
0820038625	ASCO
0820038626	ASCO
0820038627	ASCO
0820038628	ASCO
0820038629	ASCO
0820038651	ASCO
0820038652	ASCO
0820038653	ASCO
0820038654	ASCO
0820038655	ASCO
0820038657	ASCO
0820038658	ASCO
0820038675	ASCO
0820038676	ASCO
0820038677	ASCO
0820038678	ASCO
0820038679	ASCO
0820038681	ASCO
0820038951	ASCO
0820038953	ASCO
0820038955	ASCO
0820038957	ASCO
0820038959	ASCO
0820038961	ASCO
0820038980	ASCO
0820038981	ASCO
0820039015	ASCO
0820039016	ASCO
0820039017	ASCO
0820039018	ASCO
0820039019	ASCO
0820039030	ASCO
0820039031	ASCO
0820039032	ASCO
0820039033	ASCO
0820039034	ASCO
0820039035	ASCO
0820039060	ASCO
0820039061	ASCO
0820039062	ASCO
0820039063	ASCO
0820039064	ASCO
0820039115	ASCO
0820039116	ASCO
0820039117	ASCO
0820039118	ASCO
0820039119	ASCO
0820039121	ASCO
0820039130	ASCO
0820039131	ASCO
0820039132	ASCO
0820039133	ASCO
0820039134	ASCO
0820039160	ASCO
0820039161	ASCO
0820039162	ASCO
0820039163	ASCO
0820039164	ASCO
0820039215	ASCO
0820039216	ASCO
0820039217	ASCO
0820039218	ASCO
0820039219	ASCO
0820039230	ASCO
0820039231	ASCO
0820039232	ASCO
0820039234	ASCO
0820039260	ASCO
0820039261	ASCO
0820039262	ASCO
0820039263	ASCO
0820039264	ASCO
0820039315	ASCO
0820039316	ASCO
0820039317	ASCO
0820039318	ASCO
0820039319	ASCO
0820039330	ASCO
0820039331	ASCO
0820039332	ASCO
0820039333	ASCO
0820039334	ASCO
0820039360	ASCO
0820039362	ASCO
0820039363	ASCO
0820039364	ASCO
0820039933	ASCO
0820039934	ASCO
0820039935	ASCO
0820039943	ASCO
0820039944	ASCO
0820039945	ASCO
0820039983	ASCO
0820039984	ASCO
0820039985	ASCO
0820044001	ASCO
0820044002	ASCO
0820044005	ASCO
0820044006	ASCO
0820044051	ASCO
0820044055	ASCO
0820044101	ASCO
0820044102	ASCO
0820044151	ASCO
0820044201	ASCO
0820044202	ASCO
0820044251	ASCO
0820044301	ASCO
0820044302	ASCO
0820044501	ASCO
0820044502	ASCO
0820044551	ASCO
0820044601	ASCO
0820044602	ASCO
0820044651	ASCO
0820045021	ASCO
0820045022	ASCO
0820045051	ASCO
0820045101	ASCO
0820045102	ASCO
0820045151	ASCO
0820045201	ASCO
0820045202	ASCO
0820045251	ASCO
0820045301	ASCO
0820045302	ASCO
0820045351	ASCO
0820045521	ASCO
0820045522	ASCO
0820045551	ASCO
